FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Dmitrii Smoliakov,"6' 2""",253 lbs.,"74""",Switch,"Aug 05, 1982",http://ufcstats.com/fighter-details/75afb06215a07341
Louis Smolka,"5' 9""",135 lbs.,"68""",Orthodox,"Jul 16, 1991",http://ufcstats.com/fighter-details/d2bc285ead803db0
Cameron Smotherman,"5' 9""",135 lbs.,"69""",Orthodox,"Sep 17, 1997",http://ufcstats.com/fighter-details/5c84f673b7bb7c15
Shimon Smotritsky,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 22, 2000",http://ufcstats.com/fighter-details/1b0491ef0f9c965e
Richie Smullen,"5' 9""",155 lbs.,"68""",Orthodox,"Aug 17, 1991",http://ufcstats.com/fighter-details/f75c5ca0d91b9115
Devin Smyth,"5' 10""",170 lbs.,"72""",Switch,"Jul 21, 1995",http://ufcstats.com/fighter-details/7684c8137b4545ba
Denis Sobolev,"6' 3""",216 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/03b1e846b09f721d
Peter Sobotta,"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987",http://ufcstats.com/fighter-details/1fcfc3709fe58151
Renato Sobral,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 07, 1975",http://ufcstats.com/fighter-details/d468288756ae3982
Rameau Thierry Sokoudjou,"5' 10""",205 lbs.,"78""",Orthodox,"Apr 18, 1984",http://ufcstats.com/fighter-details/d1152823307d7e7c
Axel Sola,"6' 2""",170 lbs.,"74""",Southpaw,"Sep 17, 1997",http://ufcstats.com/fighter-details/1d2d98ddd05b38fb
Alexander Soldatkin,"6' 2""",250 lbs.,"75""",Orthodox,"Jun 10, 1993",http://ufcstats.com/fighter-details/f1451d605bad178e
Joe Solecki,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 27, 1993",http://ufcstats.com/fighter-details/af65aa688d13eedf
Chris Solomon,"5' 11""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/324c7a749128df8d
Joe Son,"5' 4""",236 lbs.,--,Orthodox,"Nov 22, 1970",http://ufcstats.com/fighter-details/83b743fedde154fb
Paul Song,--,185 lbs.,--,,--,http://ufcstats.com/fighter-details/9775eabcb1be1a00
Song Kenan,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 10, 1990",http://ufcstats.com/fighter-details/32490e80ddab1e5a
Song Yadong,"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997",http://ufcstats.com/fighter-details/efb96bf3e9ada36f
YoungJae Song,"5' 7""",145 lbs.,"70""",Orthodox,"Jan 03, 1996",http://ufcstats.com/fighter-details/0efb0d4ebb950fcb
Hyeonjong Song,--,135 lbs.,--,,"Apr 23, 2002",http://ufcstats.com/fighter-details/c5dc1bf9b78f262c
Emrah Sonmez,"5' 10""",145 lbs.,"71""",Orthodox,"Jun 26, 1992",http://ufcstats.com/fighter-details/fe759b24e344d7eb
Chael Sonnen,"6' 1""",205 lbs.,"73""",Southpaw,"Apr 03, 1977",http://ufcstats.com/fighter-details/48d1f690b763934c
Cody Sons,"5' 9""",205 lbs.,--,,--,http://ufcstats.com/fighter-details/3324129f3745b300
Jin Soo Son,"5' 6""",135 lbs.,"69""",Orthodox,"Apr 01, 1993",http://ufcstats.com/fighter-details/7c9c6a884be167fe
Benardo Sopaj,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 25, 2000",http://ufcstats.com/fighter-details/b6c37948cb226e8c
Emiliano Sordi,"6' 2""",205 lbs.,--,Orthodox,"Feb 15, 1991",http://ufcstats.com/fighter-details/4c9b84d559822830
Sean Soriano,"5' 9""",145 lbs.,"70""",Orthodox,"Oct 06, 1989",http://ufcstats.com/fighter-details/bd5403efbaa445c0
Punahele Soriano,"5' 11""",170 lbs.,"72""",Southpaw,"Nov 22, 1992",http://ufcstats.com/fighter-details/64facb6cc564262d
Hecher Sosa,"5' 9""",135 lbs.,"70""",Orthodox,"Aug 25, 1995",http://ufcstats.com/fighter-details/ec3bd30378d63dd1
Dmitry Sosnovskiy,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 06, 1989",http://ufcstats.com/fighter-details/85ff1b9471d35238
Ben Sosoli,"6' 0""",265 lbs.,"72""",Southpaw,"Dec 10, 1989",http://ufcstats.com/fighter-details/326f94d6cfb1bf25
Krzysztof Soszynski,"6' 1""",205 lbs.,"77""",Open Stance,"Aug 02, 1977",http://ufcstats.com/fighter-details/59583ff832fe9d68
George Sotiropoulos,"5' 10""",155 lbs.,"71""",Orthodox,"Jul 09, 1977",http://ufcstats.com/fighter-details/896c322f56b8be5a
Greg Soto,"5' 11""",170 lbs.,"73""",Orthodox,"Jun 03, 1986",http://ufcstats.com/fighter-details/9c669abd35b2522f
Alex Soto,"5' 8""",135 lbs.,--,Southpaw,"Feb 15, 1984",http://ufcstats.com/fighter-details/d18dbcb0f8e2b55d
Joe Soto,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 22, 1987",http://ufcstats.com/fighter-details/a4e85a58fbce64b2
Mario Soto,"6' 0""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/cac3aaa66c20bee1
Andre Soukhamthath,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988",http://ufcstats.com/fighter-details/d0e50a3d1b250708
Mario Sousa,"6' 3""",185 lbs.,"79""",Orthodox,"Oct 20, 1996",http://ufcstats.com/fighter-details/72782745eb47161a
Manoel Sousa,"5' 9""",155 lbs.,"70""",Orthodox,"Jun 04, 1997",http://ufcstats.com/fighter-details/5870c541798124ae
Bobby Southworth,"6' 2""",205 lbs.,--,Orthodox,"Dec 16, 1969",http://ufcstats.com/fighter-details/aee8eecfc4bfb1e7
Jacare Souza,"6' 1""",185 lbs.,"72""",Orthodox,"Dec 07, 1979",http://ufcstats.com/fighter-details/7a703c565ccaa18f
Edimilson Souza,"6' 0""",145 lbs.,"74""",Orthodox,"Oct 17, 1984",http://ufcstats.com/fighter-details/6c7020b859c7a3ce
Livinha Souza,"5' 3""",115 lbs.,"63""",Orthodox,"Mar 11, 1991",http://ufcstats.com/fighter-details/dab8cfbb6b1db10a
Bruno Souza,"5' 10""",145 lbs.,"70""",Orthodox,"Mar 07, 1996",http://ufcstats.com/fighter-details/0e5c4e72237461bb
Ketlen Souza,"5' 3""",115 lbs.,"63""",Orthodox,"Aug 18, 1994",http://ufcstats.com/fighter-details/8bd4200561c77a62
Heraldo Souza,"5' 11""",185 lbs.,"73""",Orthodox,"Dec 15, 1994",http://ufcstats.com/fighter-details/22b43be04d7454d0
Charon Spain,"5' 9""",155 lbs.,--,,"Mar 11, 1988",http://ufcstats.com/fighter-details/c278e8843b8abfec
Chris Spang,"6' 2""",170 lbs.,--,Orthodox,"Nov 26, 1987",http://ufcstats.com/fighter-details/411d012af19ecb59
Andreas Spang,"6' 1""",185 lbs.,--,,"Nov 07, 1978",http://ufcstats.com/fighter-details/b9eb5b4ed07d1525
Ryan Spann,"6' 5""",205 lbs.,"79""",Orthodox,"Aug 24, 1991",http://ufcstats.com/fighter-details/a67f5afa8d6a1b80
Ron Sparks,"6' 5""",265 lbs.,--,,--,http://ufcstats.com/fighter-details/743fd9080892501d
Tommy Speer,"5' 10""",170 lbs.,"71""",Orthodox,"Aug 20, 1984",http://ufcstats.com/fighter-details/1411c630ba711b64
Patrick Speight,"6' 1""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/ae4650eb56ab6a11
Sean Spencer,"5' 10""",170 lbs.,"74""",Orthodox,"Jun 25, 1987",http://ufcstats.com/fighter-details/ab850a77a0fa487d
Felicia Spencer,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 29, 1990",http://ufcstats.com/fighter-details/39d91e95949de3d9
Sam Spengler,"5' 11""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/221b2a3070c7ce3e
Nick Sperling,--,135 lbs.,--,,--,http://ufcstats.com/fighter-details/7d68f3bec89e08ec
Mario Sperry,"6' 2""",205 lbs.,--,Orthodox,"Sep 28, 1966",http://ufcstats.com/fighter-details/5f2197acaba7d5ef
Eric Spicely,"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986",http://ufcstats.com/fighter-details/b9664eae2ac75262
Waachiim Spiritwolf,"5' 8""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/71caa995674203aa
Daniel Spitz,"6' 7""",245 lbs.,"82""",Orthodox,"Jul 31, 1990",http://ufcstats.com/fighter-details/f86cb5f25d545e0e
Serghei Spivac,"6' 3""",260 lbs.,"78""",Orthodox,"Jan 24, 1995",http://ufcstats.com/fighter-details/e2f6b2769aaedd6c
Daniel Spohn,"6' 4""",205 lbs.,"79""",Southpaw,"Oct 12, 1984",http://ufcstats.com/fighter-details/87f3bbf52e6c9dc9
Pete Spratt,"5' 9""",170 lbs.,--,Orthodox,"Jan 09, 1971",http://ufcstats.com/fighter-details/c3ea8deeba00462b
Austin Springer,"5' 8""",145 lbs.,"71""",Orthodox,"May 12, 1987",http://ufcstats.com/fighter-details/37cc294027f55e4d
Georges St-Pierre,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",http://ufcstats.com/fighter-details/6506c1d34da9c013
Bobby Stack,"5' 9""",155 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/6436029b50a9c255
Andreas Stahl,"5' 11""",170 lbs.,--,Orthodox,"May 20, 1988",http://ufcstats.com/fighter-details/69a400af4420cd6a
Ron Stallings,"6' 2""",170 lbs.,"75""",Southpaw,"Jan 25, 1983",http://ufcstats.com/fighter-details/6dd758d34da8d254
Cody Stamann,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989",http://ufcstats.com/fighter-details/bf7ad5628363eec9
Cristina Stanciu,"5' 3""",115 lbs.,--,Orthodox,"Mar 29, 1994",http://ufcstats.com/fighter-details/175852708cb55776
Brian Stann,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 24, 1980",http://ufcstats.com/fighter-details/579fcdfcabd23a7b
Josh Stansbury,"6' 2""",205 lbs.,"74""",Orthodox,"Nov 19, 1984",http://ufcstats.com/fighter-details/30ea504870f8597b
Dion Staring,"6' 1""",235 lbs.,--,Orthodox,"Jun 09, 1978",http://ufcstats.com/fighter-details/289a57039d742bfe
Lucas Stark,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/93e4754d0984c82f
Clifford Starks,"6' 0""",185 lbs.,"78""",Orthodox,"Apr 25, 1981",http://ufcstats.com/fighter-details/5abf827d62f98fee
Kalib Starnes,"6' 3""",185 lbs.,"74""",Orthodox,"Jan 06, 1975",http://ufcstats.com/fighter-details/c8136ab8aa32c974
Laureano Staropoli,"6' 1""",185 lbs.,"71""",Orthodox,"Feb 27, 1993",http://ufcstats.com/fighter-details/a12a8314adc1c1c9
Damian Stasiak,"5' 5""",135 lbs.,"70""",Orthodox,"Feb 20, 1990",http://ufcstats.com/fighter-details/42a7e90605df3c8a
Adam Steele,--,170 lbs.,--,,--,http://ufcstats.com/fighter-details/16044bd8762cf794
Dominique Steele,"5' 10""",170 lbs.,"74""",Orthodox,"Jan 27, 1988",http://ufcstats.com/fighter-details/68c11c27d4d56572
Ricky Steele,"5' 9""",135 lbs.,"74""",Orthodox,"May 26, 1988",http://ufcstats.com/fighter-details/09a6ed4ee97a5606
Kody Steele,"5' 9""",155 lbs.,"71""",Orthodox,"Apr 21, 1995",http://ufcstats.com/fighter-details/aebaa8cec15b083d
Eric Steenberg,--,155 lbs.,--,,"Jun 22, 1983",http://ufcstats.com/fighter-details/377bc9dc0b2745f9
Steve Steinbeiss,"6' 3""",185 lbs.,"75""",Orthodox,"May 05, 1981",http://ufcstats.com/fighter-details/0b5b6876c2a4723f
Ray Steinbeiss,"5' 11""",170 lbs.,--,Orthodox,"Sep 12, 1979",http://ufcstats.com/fighter-details/6000b5ae6c462142
Dmitri Stepanov,"6' 3""",217 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/738acab0c6934dd8
Jeremy Stephens,"5' 9""",155 lbs.,"71""",Orthodox,"May 25, 1986",http://ufcstats.com/fighter-details/18968f97ad34f15c
Aljamain Sterling,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 31, 1989",http://ufcstats.com/fighter-details/cb696ebfb6598724
Marc Stevens,"5' 9""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/310c4d4b2b32796b
Joe Stevenson,"5' 7""",145 lbs.,"70""",Orthodox,"Jun 15, 1982",http://ufcstats.com/fighter-details/79899ecf62020f6d
Maia Stevenson,"5' 4""",115 lbs.,"62""",Orthodox,"Mar 19, 1982",http://ufcstats.com/fighter-details/2fee10d5cf86bfca
Luke Stewart,"5' 11""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/27b1a406ac171b19
Darren Stewart,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 30, 1990",http://ufcstats.com/fighter-details/a17ad5a5048e8c3f
Kyle Stewart,"6' 0""",170 lbs.,"76""",Orthodox,"Jan 31, 1989",http://ufcstats.com/fighter-details/bb61823f76361297
Alex Stiebling,"6' 2""",205 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/df5a77121ba84a5d
Tyler Stinson,"6' 3""",170 lbs.,--,,"Jan 17, 1986",http://ufcstats.com/fighter-details/2cf520143e76cd2e
Navajo Stirling,"6' 4""",205 lbs.,"79""",Orthodox,"Nov 07, 1997",http://ufcstats.com/fighter-details/b4b496ec2197ee3e
Dan Stittgen,"6' 1""",170 lbs.,--,Orthodox,"Nov 17, 1980",http://ufcstats.com/fighter-details/cc3147b49c7d7d92
Lazar Stojadinovic,"5' 7""",145 lbs.,"68""",Southpaw,"Mar 22, 1989",http://ufcstats.com/fighter-details/4d25497994da569c
Denis Stojnic,"6' 0""",245 lbs.,--,Orthodox,"Feb 02, 1980",http://ufcstats.com/fighter-details/a421465acbe59c77
Julija Stoliarenko,"5' 7""",125 lbs.,"66""",Orthodox,"Apr 08, 1993",http://ufcstats.com/fighter-details/a78a87d8c2bbb1cb
Dustin Stoltzfus,"6' 0""",185 lbs.,"75""",Orthodox,"Nov 15, 1991",http://ufcstats.com/fighter-details/71505842fb6455c3
Niklas Stolze,"6' 1""",155 lbs.,"74""",Switch,"Dec 28, 1992",http://ufcstats.com/fighter-details/62f7097c04311193
Ken Stone,"5' 8""",135 lbs.,"71""",Southpaw,"Oct 08, 1982",http://ufcstats.com/fighter-details/fbf0947399d14323
Ryan Stonitsch,"5' 9""",170 lbs.,--,Southpaw,"Feb 03, 1977",http://ufcstats.com/fighter-details/8d477c3fbe001f9d
George Stork,"5' 10""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/61dd409cb40d1a55
Rick Story,"5' 9""",170 lbs.,"71""",Southpaw,"Aug 28, 1984",http://ufcstats.com/fighter-details/5b5307450405abf0
Darko Stosic,"6' 0""",205 lbs.,"76""",Orthodox,"Feb 09, 1992",http://ufcstats.com/fighter-details/025f0b1b58fbad01
Greg Stott,"5' 7""",220 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/91181b29be041f1c
Curtis Stout,"6' 1""",185 lbs.,--,Southpaw,"Nov 07, 1973",http://ufcstats.com/fighter-details/e09dbbd5fe3f0fe2
Sam Stout,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 23, 1984",http://ufcstats.com/fighter-details/501b07aec9b8fc2d
Tim Stout,"5' 11""",185 lbs.,--,,"Feb 09, 1979",http://ufcstats.com/fighter-details/e1a4568fec1fc24f
Jesse Strader,"5' 7""",135 lbs.,"70""",Orthodox,"May 29, 1991",http://ufcstats.com/fighter-details/8c39367b53eadf8a
Gennaro Strangis,--,--,--,,--,http://ufcstats.com/fighter-details/495add4fbede0a44
Dave Strasser,"5' 10""",170 lbs.,--,Orthodox,"Jul 13, 1969",http://ufcstats.com/fighter-details/980b4e712489098e
Daniel Straus,"5' 7""",145 lbs.,"71""",,"Jul 27, 1984",http://ufcstats.com/fighter-details/15347cd4cdf01b03
Gerald Strebendt,"5' 9""",155 lbs.,--,Orthodox,"Mar 01, 1979",http://ufcstats.com/fighter-details/04f9fe830cf13482
Sean Strickland,"6' 1""",185 lbs.,"76""",Orthodox,"Feb 27, 1991",http://ufcstats.com/fighter-details/0d8011111be000b2
Mark Striegl,"5' 8""",145 lbs.,"70""",Southpaw,"Jun 23, 1988",http://ufcstats.com/fighter-details/ef1182eb28c17d4e
Hans Stringer,"6' 3""",205 lbs.,--,Orthodox,"Jul 06, 1987",http://ufcstats.com/fighter-details/523f6ad11dbe9b53
Stefan Struve,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988",http://ufcstats.com/fighter-details/ebc1f40e00e0c481
Josh Stuart,"5' 9""",160 lbs.,--,,--,http://ufcstats.com/fighter-details/601cf40c09090853
Mike Stumpf,"5' 10""",170 lbs.,--,,"Aug 01, 1986",http://ufcstats.com/fighter-details/c0c36a5b3d5bbdd5
Kyle Sturgeon,"6' 3""",225 lbs.,--,Switch,--,http://ufcstats.com/fighter-details/d30415ec5e8783cd
Tatiana Suarez,"5' 5""",115 lbs.,"66""",Southpaw,"Dec 19, 1990",http://ufcstats.com/fighter-details/b08012bbe542592a
Masanori Suda,"5' 9""",183 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/3a7513372f79c8c8
Genki Sudo,"5' 9""",155 lbs.,--,Orthodox,"Mar 08, 1978",http://ufcstats.com/fighter-details/99dd0147dc4ef80c
Lucasz Sudolski,"6' 4""",205 lbs.,"75""",Orthodox,"Jun 15, 1993",http://ufcstats.com/fighter-details/b160e4f251283d70
Daisuke Sugie,"5' 6""",160 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/8215e4fe24e8e81b
Takashi Sugiura,"5' 11""",225 lbs.,--,Southpaw,"May 31, 1970",http://ufcstats.com/fighter-details/06c60fc2c8dcd7bd
Naho Sugiyuma,"5' 1""",105 lbs.,--,,"Feb 03, 1978",http://ufcstats.com/fighter-details/b205d4f2ff44bc89
Sulangrangbo,"5' 9""",135 lbs.,"66""",Southpaw,"Jul 17, 2005",http://ufcstats.com/fighter-details/1dd1a3aacde66f72
George Sullivan,"6' 0""",170 lbs.,"73""",Orthodox,"Mar 13, 1981",http://ufcstats.com/fighter-details/6c7e25571490aa3b
Amar Suloev,"5' 9""",183 lbs.,--,Orthodox,"Jul 01, 1976",http://ufcstats.com/fighter-details/7aa88401f93ce836
Magomed Sultanakhmedov,"6' 2""",185 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/fe1fdc6be470f773
Justin Sumter,"6' 2""",185 lbs.,"80""",Southpaw,"Nov 16, 1989",http://ufcstats.com/fighter-details/31f9a1f56cbb6ac5
Sumudaerji,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",http://ufcstats.com/fighter-details/3cf18e01cb6cbde3
Rama Supandhi,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 07, 1991",http://ufcstats.com/fighter-details/6d537248fe7cccf1
Aji Susilo,"5' 10""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/22af3546bd967280
Baisangur Susurkaev,"6' 2""",185 lbs.,"79""",Orthodox,"Jan 08, 2001",http://ufcstats.com/fighter-details/d1feea7a4bdcd503
Louie Sutherland,"6' 3""",264 lbs.,"76""",Orthodox,"Feb 08, 1994",http://ufcstats.com/fighter-details/cdb7b38b1b357f26
Jason Suttie,"6' 0""",210 lbs.,--,Orthodox,"Aug 07, 1973",http://ufcstats.com/fighter-details/cc5834a495d1ea08
Joel Sutton,"5' 11""",205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/a6a9ab5a824e8f66
Chad Sutton,"6' 1""",185 lbs.,--,,"Aug 07, 1982",http://ufcstats.com/fighter-details/556347e2b0e33979
Danilo Suzart,"6' 0""",260 lbs.,--,Orthodox,"Dec 04, 1991",http://ufcstats.com/fighter-details/3d99e5aa85d7576a
Martin Svensson,"6' 1""",155 lbs.,--,,"Apr 25, 1985",http://ufcstats.com/fighter-details/bcad7223af3c19da
Daniel Swain,"5' 9""",145 lbs.,"70""",Orthodox,"Jan 30, 1991",http://ufcstats.com/fighter-details/cc39185f2d7d89e4
Cub Swanson,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 02, 1983",http://ufcstats.com/fighter-details/d247691a6c0e9034
Mike Swick,"6' 1""",170 lbs.,"77""",Orthodox,"Jun 19, 1979",http://ufcstats.com/fighter-details/9fe85152f351e737
Floyd Sword,"6' 0""",185 lbs.,--,Orthodox,"Aug 24, 1976",http://ufcstats.com/fighter-details/5330fe7e4c3af81c
Oumar Sy,"6' 4""",205 lbs.,"83""",Orthodox,"Nov 21, 1995",http://ufcstats.com/fighter-details/46e2011d92463b7e
Klaudia Sygula,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 30, 1998",http://ufcstats.com/fighter-details/9f5e3c20ce40b344
Bentley Syler,"5' 4""",125 lbs.,--,Orthodox,"Dec 22, 1982",http://ufcstats.com/fighter-details/abd2109bc4cb0291
Kevin Syler,"5' 9""",155 lbs.,"71""",Switch,"Jul 29, 1993",http://ufcstats.com/fighter-details/9094a881a7513de3
Leo Sylvest,"5' 11""",205 lbs.,--,Orthodox,"Sep 03, 1973",http://ufcstats.com/fighter-details/58a36b4ccf5dc30e
Tony Sylvester,"6' 1""",225 lbs.,--,Southpaw,"Jan 27, 1978",http://ufcstats.com/fighter-details/87b7df65c30008c4
Tim Sylvia,"6' 8""",265 lbs.,"80""",Orthodox,"Mar 05, 1976",http://ufcstats.com/fighter-details/2a542ee8a8b83559
Kevin Szaflarski,"6' 5""",260 lbs.,"77""",Orthodox,"Dec 30, 1994",http://ufcstats.com/fighter-details/d2d05dda5f887f87
Sebastian Szalay,"5' 6""",145 lbs.,"66""",Orthodox,"Feb 03, 1994",http://ufcstats.com/fighter-details/f201f21cf2c79eb2
Bartosz Szewczyk,"6' 4""",205 lbs.,"73""",Orthodox,"Sep 18, 1997",http://ufcstats.com/fighter-details/224050896306f00c
Osamu Tachihikari,"6' 5""",300 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/e7bc606d269896aa
Amber Tackett,--,115 lbs.,--,,--,http://ufcstats.com/fighter-details/bb01bc3c57f39b04
Eugenio Tadeu,"5' 8""",160 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/f70144caea5c4c80
Albert Tadevosyan,--,170 lbs.,--,,"Apr 12, 1992",http://ufcstats.com/fighter-details/6751b11102b6adfe
Justin Tafa,"6' 0""",264 lbs.,"74""",Southpaw,"Dec 13, 1993",http://ufcstats.com/fighter-details/e13abac8089a801a
Junior Tafa,"6' 3""",205 lbs.,"75""",Orthodox,"Sep 21, 1996",http://ufcstats.com/fighter-details/c15fa95b9a12fde4
Khalid Taha,"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992",http://ufcstats.com/fighter-details/b4537562f88ac582
Joe Taimanglo,"5' 4""",135 lbs.,--,,"Jun 27, 1984",http://ufcstats.com/fighter-details/9bf126927843e184
Tatsuro Taira,"5' 7""",125 lbs.,"70""",Orthodox,"Jan 27, 2000",http://ufcstats.com/fighter-details/4461d7e47375a895
Mairbek Taisumov,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988",http://ufcstats.com/fighter-details/8f5c8850b2484173
Taiyilake Nueraji,"6' 2""",170 lbs.,"75""",Southpaw,"Jan 12, 2001",http://ufcstats.com/fighter-details/7498b3ac79a3b948
Nobuhiko Takada,"6' 0""",220 lbs.,--,Southpaw,"Apr 12, 1962",http://ufcstats.com/fighter-details/a25b71fe5e31fa97
Yoshiki Takahashi,"5' 11""",199 lbs.,--,Southpaw,"Mar 13, 1969",http://ufcstats.com/fighter-details/6420efac0578988b
Yoko Takahashi,"5' 8""",150 lbs.,--,,"Apr 20, 1973",http://ufcstats.com/fighter-details/01f86e2d604e2f3c
Daiju Takase,"6' 0""",170 lbs.,--,Southpaw,"Apr 20, 1978",http://ufcstats.com/fighter-details/4f74c8be51db8a37
Hiroyuki Takaya,"5' 6""",139 lbs.,--,Orthodox,"Jun 10, 1977",http://ufcstats.com/fighter-details/0d16bdb7d32e88e9
Yoshihiro Takayama,"6' 5""",280 lbs.,--,Orthodox,"Sep 19, 1968",http://ufcstats.com/fighter-details/d856a0080ac09ed7
Makoto Takimoto,"5' 7""",205 lbs.,--,Southpaw,"Dec 08, 1979",http://ufcstats.com/fighter-details/a7724f51e32e763e
Oleg Taktarov,"6' 0""",210 lbs.,--,Orthodox,"Aug 26, 1967",http://ufcstats.com/fighter-details/1dc56b59cb28425d
Payton Talbott,"5' 10""",135 lbs.,"70""",Switch,"Sep 09, 1998",http://ufcstats.com/fighter-details/6e743a33d56bdaa4
Nordine Taleb,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981",http://ufcstats.com/fighter-details/49858bf46dabf6fb
Murtaza Talha,"6' 0""",205 lbs.,"74""",Orthodox,"Jul 10, 1996",http://ufcstats.com/fighter-details/6aab5c20395ee722
Tsuyoshi Tamakairiki,"6' 0""",220 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/eaa0a728cc91ef60
Eli Tamez,"5' 7""",135 lbs.,--,,"Aug 22, 1985",http://ufcstats.com/fighter-details/bfd4d50591033a1f
Kiyoshi Tamura,"5' 11""",185 lbs.,--,Southpaw,"Dec 17, 1969",http://ufcstats.com/fighter-details/30e8b4505f5ccf92
Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980",http://ufcstats.com/fighter-details/c95fbc085e17a532
Issei Tamura,"5' 5""",135 lbs.,"63""",Orthodox,"Mar 12, 1984",http://ufcstats.com/fighter-details/57bf89d42364d39e
Jason Tan,"5' 10""",170 lbs.,--,Orthodox,"Dec 17, 1981",http://ufcstats.com/fighter-details/ad3041e61896b975
Akihito Tanaka,--,--,--,Southpaw,--,http://ufcstats.com/fighter-details/1bf49bf829964144
Michinori Tanaka,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 04, 1990",http://ufcstats.com/fighter-details/64788ee44b062ded
Evan Tanner,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",http://ufcstats.com/fighter-details/8f2d9ee27f206f1f
Kasey Tanner,"5' 7""",135 lbs.,"69""",Orthodox,"Jan 11, 1992",http://ufcstats.com/fighter-details/078b732efa497f49
Otari Tanzilovi,"5' 10""",135 lbs.,"70""",Orthodox,"Apr 09, 1998",http://ufcstats.com/fighter-details/b9124c308671e303
Manny Tapia,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981",http://ufcstats.com/fighter-details/0eec866a077889f0
Gary Tapusoa,"5' 7""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/37ac9e0f4fc86171
Miesha Tate,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 18, 1986",http://ufcstats.com/fighter-details/b96619b3acd7d9da
Aaron Tau,"5' 4""",125 lbs.,"66""",Switch,"Aug 21, 1993",http://ufcstats.com/fighter-details/7abf7f8778472b7b
Deividas Taurosevicius,"5' 9""",145 lbs.,"68""",Southpaw,"Aug 28, 1977",http://ufcstats.com/fighter-details/ef927e4fe2117ab8
Thiago Tavares,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 08, 1984",http://ufcstats.com/fighter-details/8a59d346dc976a10
Jeremy Tavares,--,135 lbs.,--,,--,http://ufcstats.com/fighter-details/681d07e328798ec0
Brad Tavares,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",http://ufcstats.com/fighter-details/0c6d9ea8306c029e
Ramon Taveras,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 09, 1994",http://ufcstats.com/fighter-details/c5ccd878231c5407
Paul Taylor,"6' 0""",155 lbs.,"72""",Orthodox,"Dec 15, 1979",http://ufcstats.com/fighter-details/9b74de674c355425
